set,act,trial,start,end
1,1,1,22.852848768234253,26.1842782497406
1,1,2,33.753692388534546,37.06290531158447
1,1,3,42.7123601436615,46.032784938812256
1,1,4,51.59368538856506,54.905722856521606
1,1,5,62.010077476501465,65.33719968795776
1,1,6,73.24901938438416,76.55575728416443
1,1,7,84.2919270992279,87.63948249816895
1,1,8,93.59491658210754,96.91345858573914
1,1,9,106.35223627090454,109.66957426071167
1,1,10,114.91931581497192,118.241131067276
1,1,11,126.87583231925964,130.19935941696167
1,1,12,139.26574087142944,142.5752387046814
1,1,13,148.06373977661133,151.38492727279663
1,1,14,155.90565824508667,159.2346544265747
1,1,15,163.98389744758606,167.305260181427
1,1,16,173.1331775188446,176.45684599876404
1,2,1,229.01077222824097,232.35010862350464
1,2,2,237.43257641792297,240.74155378341675
1,2,3,254.31304216384888,257.63477849960327
1,2,4,262.66804599761963,265.98086953163147
1,2,5,271.73704981803894,275.05402970314026
1,2,6,279.1258764266968,282.45636463165283
1,2,7,286.9400098323822,290.27449440956116
1,2,8,294.295371055603,297.60431361198425
1,2,9,301.90214943885803,305.21491050720215
1,2,10,308.9539806842804,312.28187322616577
1,2,11,317.8505983352661,321.1829402446747
1,2,12,325.5830612182617,328.94157814979553
1,2,13,332.33207511901855,335.64589285850525
1,2,14,339.23511958122253,342.57135128974915
1,2,15,347.4114227294922,350.7505450248718
1,2,16,355.09321331977844,358.41875886917114
