frame_idx,t_ns
0,46009000
1,78040400
2,109793300
3,141926200
4,174418400
5,206026600
6,240398300
7,269824700
8,318658600
9,350439400
10,381957700
11,413956700
12,446153800
13,477989400
14,511214900
15,542192600
16,574510900
17,606333700
18,638110100
19,670381900
20,718272100
21,750639200
22,782588600
23,814434400
24,846419100
25,878491900
26,910246600
27,942744900
28,974406200
29,1005837900
30,1038360700
31,1070475300
32,1122723900
33,1150641400
34,1182680900
35,1215047900
36,1246804400
37,1278342900
38,1311756000
39,1342493600
40,1375980900
41,1406076000
42,1440503500
43,1470903500
44,1518331900
45,1549823800
46,1582446900
47,1614136400
48,1645965800
49,1677948400
50,1710296800
51,1742268900
52,1774017800
53,1808282600
54,1838737500
55,1870574800
56,1918765900
57,1950470800
58,1982083000
59,2014454100
60,2046216500
61,2078349900
62,2110195000
63,2141940200
64,2174006900
65,2206333800
66,2239798400
67,2270605500
68,2318266200
69,2349972700
70,2382261300
71,2414726000
72,2446389900
73,2478488300
74,2510153600
75,2541794600
76,2575609600
77,2606439900
78,2639149000
79,2671455000
80,2718444400
81,2750789000
82,2782376200
83,2814038400
84,2846696700
85,2881159200
86,2910039700
87,2946797600
88,2974010700
89,3008291600
90,3038311000
91,3071629600
92,3118105000
93,3149941900
94,3182220900
95,3214436700
96,3250279400
97,3278629700
98,3316691100
99,3342226300
100,3375606000
101,3406456500
102,3444033300
103,3471044300
104,3518969600
105,3550026100
106,3582137300
107,3614027400
108,3646389000
109,3679216400
110,3711337600
111,3743613500
112,3774287600
113,3807091400
114,3838484300
115,3870574400
116,3918136900
117,3949827700
118,3981843200
119,4014880600
120,4046618500
121,4078281500
122,4110402800
123,4141974100
124,4174036500
125,4206120500
126,4238181300
127,4270506900
128,4322869200
129,4350485600
130,4391186000
131,4413890800
132,4446796600
133,4478428900
134,4515301900
135,4542208500
136,4578846100
137,4606125300
138,4643255300
139,4670466000
140,4718013300
141,4750432900
142,4782610900
143,4816072400
144,4846508700
145,4879655100
146,4910608800
147,4946581500
148,4974536200
149,5008836200
150,5038450500
151,5070940800
152,5118503500
153,5150140200
154,5182574600
155,5214870800
156,5246554300
157,5278107700
158,5312237900
159,5342657200
